battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,ram,talk_time,three_g,touch_screen,wifi,price_range,px_area,screen_area,build_score
1775,1,1.5,0,3,0,41,0.1,163,1,7,2343,14,1,1,1,3,3052077,247,1630.0
783,0,1.8,1,0,1,43,1.0,106,3,4,2016,18,1,1,0,1,1762258,64,106.0
617,1,2.3,0,0,0,32,0.5,199,7,20,2213,7,0,0,0,1,671232,234,398.0
867,0,1.4,1,0,1,4,0.7,135,6,1,790,3,1,1,0,0,138180,78,192.85714285714286
1310,1,1.1,1,13,0,7,1.0,194,5,14,3182,5,1,1,0,2,60021,32,194.0
1804,0,0.5,0,9,1,22,0.6,153,7,19,3472,20,1,0,1,3,1440552,9,255.0
1900,1,2.3,0,1,1,18,0.2,89,7,9,2871,13,1,1,1,3,1752355,12,445.0
909,1,1.4,0,0,0,53,0.3,82,8,0,3187,4,1,0,0,2,617855,108,273.33333333333337
1084,1,2.6,0,3,1,40,0.9,107,3,11,1945,10,1,1,0,1,248262,60,118.88888888888889
1308,0,1.3,1,8,0,46,0.9,199,1,12,488,9,0,1,0,0,271975,15,221.11111111111111
1778,0,0.5,0,0,0,15,0.5,102,3,0,1214,14,1,0,0,1,2823530,30,204.0
1701,1,1.6,1,3,0,10,0.3,194,8,7,2598,6,0,1,0,2,735900,108,646.6666666666667
772,1,2.4,1,1,1,10,0.5,80,4,2,3242,4,1,1,0,3,2126304,198,160.0
825,1,0.5,1,7,0,52,0.9,130,3,10,3534,6,0,1,0,3,515211,40,144.44444444444443
1379,0,1.1,0,5,1,36,0.8,200,2,7,3426,17,1,1,1,3,740288,20,250.0
1166,0,2.0,0,3,1,25,0.8,198,5,4,2488,15,1,0,0,2,70977,65,247.5
1659,0,2.8,0,5,0,16,0.6,89,1,20,3255,9,0,0,1,3,738738,266,148.33333333333334
826,1,2.4,1,0,1,58,0.3,88,4,1,2863,18,1,0,1,2,140694,27,293.33333333333337
1564,0,2.3,0,4,1,25,0.5,189,6,17,1496,7,1,1,1,1,2473935,24,378.0
1957,0,0.9,1,11,0,31,0.6,181,3,16,3801,7,1,0,1,3,685872,72,301.6666666666667
1571,0,1.4,0,0,1,19,0.1,100,6,1,666,13,1,1,0,0,996774,120,1000.0
1414,0,2.0,1,2,0,54,0.8,99,7,3,3799,7,1,0,1,3,217198,119,123.75
1790,0,2.5,1,9,0,2,0.1,184,1,14,1366,20,1,1,1,1,492624,42,1840.0
645,0,0.5,0,1,0,41,1.0,197,7,10,2962,4,1,1,1,2,189660,108,197.0
668,0,2.9,1,7,0,30,0.2,195,8,12,2399,7,1,1,1,1,551232,50,975.0
1652,1,1.1,1,1,0,36,0.7,89,4,5,2338,20,0,0,0,2,395632,96,127.14285714285715
1213,1,0.5,0,0,0,16,0.5,108,5,0,2700,9,0,0,1,2,282048,36,216.0
1272,1,2.5,1,0,0,22,0.9,133,6,8,2235,4,1,0,0,1,404745,76,147.77777777777777
866,0,0.5,1,5,1,46,0.5,179,8,7,3825,2,1,1,1,3,1166712,132,358.0
536,0,2.4,1,12,1,3,0.3,182,7,14,284,4,1,1,0,0,2133054,108,606.6666666666667
523,0,2.6,1,1,0,14,0.1,155,8,2,1427,9,0,1,0,0,316768,9,1550.0
1753,0,0.5,1,0,1,31,0.1,134,1,18,1324,17,1,0,1,2,3062340,102,1340.0
1218,0,1.8,1,1,1,14,0.5,147,3,4,398,5,1,0,0,0,141064,102,294.0
1537,1,2.5,0,4,1,43,0.3,137,1,5,3685,17,1,1,1,3,948909,306,456.6666666666667
786,0,2.2,1,0,0,33,0.5,141,7,6,2390,5,1,0,1,2,860379,132,282.0
1678,0,2.1,0,3,1,64,0.9,134,3,11,278,10,1,1,0,0,233696,114,148.88888888888889
1814,0,1.4,1,1,1,9,0.4,141,2,2,3556,16,1,0,0,3,594216,216,352.5
1101,0,1.8,0,0,0,31,0.2,148,2,7,2196,19,0,1,1,1,491103,72,740.0
1461,0,2.4,1,3,1,40,0.5,141,7,4,3799,4,1,0,0,3,1641970,16,282.0
1216,0,3.0,0,4,0,47,0.4,199,3,7,2268,4,0,1,1,2,3642884,65,497.5
506,0,1.6,0,6,1,41,0.8,159,1,7,2965,15,1,0,0,2,896875,130,198.75
843,1,0.5,0,1,1,56,0.1,147,5,17,2341,20,1,1,1,1,112000,10,1470.0
742,0,2.2,1,4,0,56,0.2,190,7,14,3557,12,0,1,1,3,784143,176,950.0
1692,1,2.1,0,3,1,61,0.9,176,6,12,1354,19,1,0,0,1,1946100,112,195.55555555555554
1485,0,1.0,0,2,1,32,0.7,84,2,9,2147,11,1,1,0,2,516630,19,120.00000000000001
1547,0,2.9,1,6,0,45,0.7,166,2,8,505,3,0,1,1,0,343970,24,237.14285714285717
1692,0,2.3,1,4,1,46,0.9,139,1,6,1394,6,1,1,0,1,1297450,160,154.44444444444443
637,0,2.3,0,3,1,60,0.8,97,4,4,374,8,1,0,1,0,2237625,72,121.25
1224,0,0.5,0,16,1,6,0.4,109,6,18,506,11,1,1,1,0,617022,60,272.5
1356,0,2.8,0,0,0,29,0.5,198,6,0,3702,19,0,0,0,3,3196596,102,396.0
1840,0,0.5,1,12,0,34,0.7,142,1,16,1078,10,0,0,0,1,480495,48,202.85714285714286
1481,1,0.7,1,4,1,37,0.6,96,5,13,2945,16,1,1,1,2,177828,50,160.0
961,1,1.5,1,10,0,51,0.3,152,6,16,2981,7,1,1,1,2,344034,90,506.6666666666667
1296,0,0.9,1,0,1,14,0.5,124,5,3,490,4,1,1,1,0,1031592,7,248.0
1193,0,0.9,0,11,0,26,0.5,166,1,20,536,4,1,0,1,0,1262170,238,332.0
1441,0,2.1,1,11,1,3,0.1,118,8,17,2317,7,1,0,1,2,617967,64,1180.0
517,0,1.4,1,3,1,33,0.8,183,4,8,3704,11,1,0,1,3,642840,272,228.75
748,1,1.7,0,0,1,27,0.9,150,8,4,2126,7,1,0,0,1,699300,162,166.66666666666666
1126,1,2.4,0,2,1,10,0.4,160,6,3,2050,12,1,1,1,2,1970253,42,400.0
1572,0,0.6,0,0,1,58,0.2,157,7,8,2462,10,1,0,0,3,2148133,96,785.0
1569,0,2.8,1,17,0,44,0.3,110,4,20,1260,17,1,0,0,1,87390,18,366.6666666666667
1270,1,0.6,1,2,1,32,0.5,101,7,6,3770,13,1,1,0,3,252655,15,202.0
1854,0,3.0,0,2,1,8,0.1,101,5,5,1886,20,1,1,0,1,317262,68,1010.0
625,1,1.2,1,5,1,10,0.2,183,4,8,3323,7,1,1,1,2,534670,9,915.0
1577,0,0.5,1,0,1,42,0.3,197,5,4,2060,12,1,0,0,2,1815165,114,656.6666666666667
534,0,0.5,1,0,1,16,1.0,189,5,1,3926,20,1,0,0,3,471207,192,189.0
946,0,1.7,1,8,1,25,0.8,143,6,15,2177,13,1,1,1,2,1131000,35,178.75
685,0,0.5,0,2,0,29,0.8,93,7,10,728,4,0,0,1,0,280584,112,116.25
1949,0,1.3,1,0,0,23,0.1,101,5,1,2478,20,1,0,0,3,953104,112,1010.0
947,0,0.8,1,0,1,22,0.1,197,2,13,2842,2,1,0,0,2,1434720,192,1970.0
801,1,2.2,1,2,0,63,0.4,165,7,4,1617,19,0,0,1,1,571350,68,412.5
703,1,2.7,0,12,1,30,0.3,113,1,20,1472,7,1,0,0,0,232170,98,376.6666666666667
1165,1,2.4,0,11,0,41,0.2,178,6,12,764,15,1,0,0,0,468684,228,890.0
1082,0,0.8,0,0,0,38,0.1,198,8,5,2337,17,0,1,1,2,1174326,6,1980.0
959,1,2.6,1,15,0,20,1.0,84,4,19,3965,6,1,0,0,3,914991,16,84.0
1502,1,1.2,0,0,0,54,0.2,138,5,12,3693,16,1,1,0,3,38220,238,690.0
1380,1,2.1,1,1,1,4,0.8,92,3,13,797,15,1,1,0,0,210000,26,115.0
1266,0,0.5,0,0,1,5,0.1,95,6,9,1687,18,1,0,0,2,2317770,66,950.0
1934,1,2.6,1,0,1,46,0.1,103,1,17,2940,2,1,1,1,3,804081,117,1030.0
1905,1,0.5,0,3,1,6,0.5,151,1,5,1545,10,1,1,0,1,762402,45,302.0
1831,0,1.4,1,2,0,43,0.9,150,5,5,3834,13,1,1,1,3,843791,119,166.66666666666666
596,0,1.4,0,8,0,46,0.6,165,1,18,2505,15,1,1,0,1,937752,60,275.0
1562,1,1.3,1,1,1,7,0.2,190,5,15,2243,6,1,0,0,2,984186,120,950.0
1490,1,0.5,1,4,1,64,0.3,150,8,8,3600,7,1,1,1,3,2074488,153,500.0
1523,1,2.4,0,5,1,57,0.2,117,2,6,3971,10,1,1,1,3,133133,216,585.0
640,0,0.6,0,0,0,20,0.1,163,4,15,2844,18,1,1,0,2,837090,35,1630.0
1526,0,2.1,0,1,1,23,0.2,117,7,8,2227,3,1,1,0,2,539218,180,585.0
1989,0,2.5,1,0,1,41,0.8,94,3,13,1665,12,1,1,1,2,1646700,153,117.5
1308,0,1.9,0,0,1,61,0.7,106,3,7,3355,4,1,0,1,3,71685,30,151.42857142857144
609,0,0.5,0,3,0,26,0.3,93,4,4,1866,14,1,1,1,1,1827224,110,310.0
1905,0,0.6,1,9,1,36,0.4,119,3,20,1287,16,1,0,0,1,1272150,52,297.5
1703,1,0.5,0,0,1,22,0.6,192,1,0,1046,13,1,0,1,0,353210,20,320.0
1445,1,2.4,1,7,1,20,0.4,173,7,15,1441,13,1,1,1,1,1712185,28,432.5
1087,0,1.3,0,0,1,16,0.3,166,3,9,690,6,1,0,1,0,173755,84,553.3333333333334
671,0,0.9,1,10,0,30,0.7,105,7,17,2504,15,1,0,0,2,1007064,24,150.0
1472,1,2.3,0,6,0,61,0.1,168,6,19,2677,8,1,0,0,2,746920,285,1680.0
765,0,0.5,1,0,1,47,0.3,115,8,1,2243,4,1,0,1,2,1824833,77,383.33333333333337
1642,0,0.5,1,16,1,8,0.3,171,6,17,2984,17,1,0,1,2,112617,52,570.0
1265,0,1.5,0,7,0,49,0.7,182,5,16,1362,12,0,0,1,1,576840,30,260.0
664,1,1.1,1,1,1,51,0.1,110,7,4,3629,6,1,1,1,3,1036078,285,1100.0
1277,1,0.5,1,0,1,35,0.4,142,6,6,3559,6,1,1,0,3,451140,306,355.0
1395,0,1.8,1,0,0,23,0.1,111,3,1,2571,13,1,0,1,2,150165,66,1110.0
1539,1,2.6,0,0,0,41,0.1,159,8,0,2107,10,1,0,1,2,1852592,135,1590.0
1049,1,2.2,0,9,0,63,0.5,135,5,17,1022,13,0,0,0,0,214323,33,270.0
1827,0,1.7,0,4,1,39,0.5,128,5,16,2844,10,1,1,0,2,56100,126,256.0
903,0,1.0,1,0,1,50,0.4,91,1,0,711,10,1,1,0,0,1519050,45,227.5
1987,1,0.5,0,3,1,53,1.0,181,3,7,3117,8,1,1,1,3,1594832,90,181.0
1154,0,1.2,1,0,1,49,0.2,181,8,2,978,7,1,0,1,0,810959,15,905.0
1336,0,0.9,0,5,1,17,0.2,194,5,9,1869,16,1,1,1,1,32065,13,970.0
1886,0,0.5,0,0,1,24,0.4,112,3,1,1179,20,1,0,1,1,1584022,112,280.0
1551,0,1.1,0,4,0,51,0.1,88,5,6,3844,4,0,1,0,3,3467310,88,880.0
850,1,1.6,1,6,1,29,0.5,133,5,19,593,10,1,0,1,0,259368,323,266.0
660,0,0.5,0,5,1,40,0.5,111,2,10,588,18,1,1,1,0,308636,30,222.0
1225,1,2.1,1,8,0,13,0.5,116,4,12,3836,11,0,0,0,3,1065636,132,232.0
1452,1,0.5,1,1,1,25,0.9,123,6,11,2669,13,1,0,0,2,43680,120,136.66666666666666
1686,1,2.8,1,3,0,38,0.1,166,4,4,2958,2,0,0,0,3,576841,154,1660.0
1634,1,1.4,0,1,1,17,0.2,200,2,5,3031,6,1,1,1,3,1616628,66,1000.0
1708,1,2.4,1,18,1,49,0.1,109,1,19,3388,16,1,1,1,3,120461,24,1090.0
1151,1,2.9,1,0,0,31,0.6,128,8,1,2377,13,0,1,0,2,1594320,144,213.33333333333334
1578,0,1.9,1,2,1,37,0.1,138,4,19,2458,3,1,0,1,2,503886,304,1380.0
1689,0,1.8,0,17,0,24,0.3,127,3,18,2766,7,0,1,1,3,1144800,14,423.33333333333337
1488,0,0.5,0,1,0,39,0.8,112,5,6,3054,19,0,0,0,3,2516616,140,140.0
1313,1,1.8,1,4,0,9,0.4,105,1,6,3791,6,0,1,1,3,544128,110,262.5
1715,0,1.0,1,4,1,31,0.5,83,8,17,625,13,1,0,0,0,1030370,102,166.0
1442,0,1.0,1,0,0,27,0.1,192,3,19,2227,20,1,1,0,1,158697,30,1920.0
528,0,1.7,0,12,1,6,0.8,142,2,15,3256,6,1,1,0,2,365638,72,177.5
1523,1,1.8,0,6,1,11,0.1,129,1,8,707,19,1,1,0,0,237688,152,1290.0
1133,0,1.4,0,3,0,42,0.1,199,5,12,1457,20,1,0,1,1,1126390,216,1990.0
1718,1,2.5,1,14,1,6,0.1,183,5,16,3755,8,1,1,1,3,552720,7,1830.0
1330,0,0.5,0,0,0,38,1.0,183,7,1,1733,11,1,0,1,1,1858890,54,183.0
1799,1,0.5,0,0,0,49,0.4,107,4,2,720,11,1,1,1,0,874056,24,267.5
633,1,2.2,0,0,1,49,0.1,139,8,1,3560,16,1,1,1,2,533761,11,1390.0
724,0,2.7,1,0,0,44,0.5,187,7,0,2311,7,1,0,0,2,2232842,42,374.0
822,1,0.5,0,0,1,51,0.3,157,6,20,3846,3,1,0,0,3,573620,10,523.3333333333334
1918,0,1.9,0,2,0,10,0.6,110,5,10,1717,16,1,1,1,2,1805310,7,183.33333333333334
1891,0,2.8,0,7,1,37,0.4,129,7,14,3704,11,1,0,0,3,187252,48,322.5
1373,1,1.0,1,2,0,50,0.2,127,7,12,3800,14,1,0,0,3,70665,24,635.0
862,1,0.8,1,3,0,23,0.4,165,2,15,278,11,0,0,1,0,1394094,48,412.5
1273,0,1.0,0,3,1,48,0.4,99,4,15,1767,11,1,1,0,1,434140,270,247.5
957,1,2.5,0,4,0,7,0.8,107,5,10,1846,7,1,0,1,1,1783485,60,133.75
1617,1,1.3,1,3,1,30,0.7,105,2,4,829,10,1,0,0,0,255348,54,150.0
893,0,2.5,1,0,0,55,0.6,183,2,1,2986,6,0,1,1,2,394482,7,305.0
1210,0,0.5,0,0,0,63,0.1,93,5,0,2394,7,0,0,0,2,1720774,153,930.0
708,1,2.7,1,0,1,63,1.0,195,8,7,2169,7,1,1,1,1,51012,30,195.0
835,0,1.1,1,2,0,7,0.2,101,4,7,1181,15,1,1,1,0,518092,65,505.0
1450,1,2.7,1,9,0,19,0.6,131,1,17,575,12,0,0,0,0,1330574,135,218.33333333333334
973,1,1.5,0,5,1,57,0.2,190,7,16,2977,2,1,0,0,2,829912,24,950.0
601,1,1.4,0,4,1,4,0.1,154,4,13,532,10,1,1,1,0,272340,96,1540.0
507,1,0.5,1,1,0,32,0.5,141,7,11,1702,5,1,1,1,1,1308528,102,282.0
564,0,1.8,1,0,1,51,0.5,168,3,1,1074,15,1,1,0,0,1805760,112,336.0
1559,1,1.6,1,6,1,6,0.5,162,6,17,3352,3,1,1,1,3,279061,9,324.0
754,0,0.5,1,7,1,59,0.7,178,7,10,1027,5,1,0,0,1,3690192,18,254.2857142857143
728,0,2.7,1,0,0,25,0.2,88,4,1,2039,12,1,1,1,1,804254,5,440.0
1431,1,0.5,0,0,1,56,0.6,191,1,1,461,8,1,0,0,0,148512,21,318.33333333333337
767,0,1.5,0,4,0,28,0.7,175,4,10,527,15,0,1,0,0,521848,60,250.00000000000003
1722,0,2.6,0,8,0,18,0.8,177,2,16,3271,15,1,0,1,3,1505965,84,221.25
1992,1,1.6,0,5,1,57,1.0,100,2,15,606,4,1,1,1,1,2476992,27,100.0
1876,0,0.5,0,10,1,40,0.3,86,6,14,2513,16,1,1,0,3,853944,80,286.6666666666667
1054,0,1.1,1,10,1,38,0.4,136,6,12,1675,14,1,1,1,1,1340534,72,340.0
1283,1,1.6,1,4,0,47,0.9,93,5,5,2698,17,1,1,0,2,257424,54,103.33333333333333
1281,1,2.3,1,0,0,28,0.3,148,1,6,1129,6,0,1,0,1,2077845,12,493.33333333333337
1066,0,0.6,0,2,1,7,0.9,114,7,18,468,6,1,1,0,0,1951182,247,126.66666666666666
730,0,2.1,1,0,1,4,0.1,89,8,2,1210,4,1,1,1,0,376594,285,890.0
1053,1,0.8,1,7,1,45,0.3,103,1,12,3086,5,1,1,1,3,1049598,102,343.33333333333337
1611,1,0.5,1,11,0,3,0.6,98,3,14,1595,9,1,0,1,1,216342,32,163.33333333333334
793,0,1.0,1,5,1,30,0.9,133,2,15,2332,14,1,1,1,2,3595230,221,147.77777777777777
